agent_0,agent_1,agent_2,agent_3,agent_4
1,1,1,1,1
1,-1,-1,1,1
-1,1,1,-1,-1
-1,1,1,-1,-1
1,-1,1,1,1
-1,-1,1,-1,1
-1,-1,-1,-1,1
-1,1,1,-1,1
1,-1,1,1,1
1,-1,-1,1,1
-1,-1,-1,1,-1
-1,1,1,1,-1
-1,-1,1,1,1
1,-1,1,1,1
1,1,-1,-1,1
-1,1,-1,1,1
-1,1,-1,1,1
-1,1,-1,-1,-1
1,-1,-1,1,-1
-1,1,-1,1,-1
-1,1,-1,-1,-1
1,-1,-1,-1,-1
1,1,1,-1,-1
-1,-1,1,-1,1
-1,1,1,1,1
1,-1,1,1,-1
1,-1,1,-1,1
-1,1,1,1,-1
-1,1,1,1,1
-1,1,1,-1,1
-1,-1,1,1,-1
-1,-1,1,-1,-1
-1,-1,1,-1,-1
-1,-1,1,-1,1
1,-1,-1,1,1
1,-1,1,1,1
1,-1,-1,-1,1
1,-1,-1,-1,-1
1,1,1,-1,1
1,1,1,1,1
1,-1,-1,1,1
-1,1,-1,1,1
-1,-1,-1,1,1
1,-1,1,1,-1
-1,-1,1,1,-1
-1,-1,1,-1,1
1,1,1,1,-1
-1,1,-1,1,-1
1,-1,-1,-1,-1
1,-1,-1,-1,1
1,-1,1,-1,1
-1,-1,1,-1,-1
-1,-1,1,-1,1
1,-1,1,1,1
1,-1,1,-1,1
1,-1,1,-1,1
1,-1,-1,-1,1
1,-1,-1,-1,1
-1,-1,-1,-1,1
1,-1,-1,-1,1
-1,-1,-1,1,-1
-1,-1,-1,-1,1
-1,-1,-1,-1,-1
-1,1,1,-1,-1
-1,1,-1,-1,-1
-1,1,1,-1,-1
-1,-1,1,-1,1
-1,-1,1,-1,1
-1,-1,-1,-1,1
-1,1,-1,-1,1
-1,1,1,-1,1
-1,1,1,-1,-1
-1,1,-1,-1,-1
1,1,-1,-1,1
1,1,-1,-1,1
1,-1,-1,1,1
1,1,-1,-1,-1
1,-1,-1,-1,1
1,-1,-1,-1,1
-1,1,-1,-1,1
1,1,-1,-1,1
1,1,-1,-1,1
1,-1,1,-1,1
1,-1,1,-1,1
1,-1,-1,-1,-1
1,-1,1,-1,-1
-1,1,-1,-1,-1
1,1,-1,1,-1
1,1,1,-1,-1
-1,1,1,-1,-1
-1,1,1,-1,-1
1,1,-1,-1,-1
1,1,-1,1,-1
1,1,1,-1,-1
-1,1,1,-1,1
-1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
-1,1,1,1,1
-1,1,-1,-1,-1
