coverage,found,agent_0,agent_1,agent_2,agent_3,agent_4
7.1875,True,1,1,1,1,1
8.375,False,1,1,1,1,1
5.4375,False,0,0,0,0,0
7.8125,False,0,0,0,0,0
3.5625,False,0,0,0,0,0
7.0625,False,0,0,0,0,0
6.125,False,0,0,0,0,0
4.8125,False,0,0,0,0,0
3.9375,False,0,0,0,0,0
3.0625,False,0,0,0,0,0
5.9375,False,0,0,0,0,0
3.75,False,0,0,0,0,0
5.875,False,0,0,0,0,0
2.125,False,0,0,0,0,0
9.0,False,0,0,0,0,0
7.0,False,0,0,0,0,0
5.3125,False,0,0,0,0,0
9.0625,False,0,0,0,0,0
6.375,False,0,0,0,0,0
3.625,False,0,0,0,0,0
7.5625,False,0,0,0,0,0
4.0625,False,0,0,0,0,0
5.5,False,0,0,0,0,0
8.9375,False,0,0,0,0,0
6.1875,False,0,0,0,0,0
5.875,False,0,0,0,0,0
7.8125,False,0,0,0,0,0
4.0,False,0,0,0,0,0
2.75,False,0,0,0,0,0
5.5,False,0,0,0,0,0
6.875,False,0,0,0,0,0
5.875,False,0,0,0,0,0
7.875,False,0,0,0,0,0
5.25,False,0,0,0,0,0
3.125,False,0,0,0,0,0
4.8125,False,0,0,0,0,0
6.25,False,0,0,0,0,0
5.125,False,0,0,0,0,0
4.125,False,0,0,0,0,0
6.625,False,0,0,0,0,0
