coverage,found,agent_0,agent_1,agent_2,agent_3,agent_4
19.9375,False,36,-2,24,58,30
16.25,False,-44,50,28,-14,12
14.125,True,18,34,136,46,18
18.125,False,50,-10,66,24,-42
18.4375,False,50,-12,16,20,28
18.125,False,4,-16,10,44,56
17.5,False,0,-2,-20,18,62
17.6875,False,28,24,-6,22,0
20.0625,False,58,42,-16,10,58
19.625,False,-14,24,-14,68,60
18.1875,False,22,66,54,-18,-6
18.375,False,20,4,44,32,-10
14.9375,True,-62,34,136,14,58
20.5,False,24,60,18,38,8
17.25,False,-38,44,22,26,16
19.0,False,56,6,72,-32,8
18.6875,False,8,-24,74,60,18
19.875,False,78,34,-8,2,36
20.6875,False,-24,72,26,32,52
19.5625,False,42,12,64,-6,28
18.0,False,42,-4,26,36,12
18.5625,False,46,10,22,-10,26
17.5,False,-4,12,28,12,4
21.5625,False,66,80,24,42,22
20.75,False,40,32,36,64,12
20.125,False,48,92,-4,24,8
21.9375,False,90,64,18,-4,30
17.0,True,-8,68,156,-16,30
16.3125,False,26,-78,58,30,-8
17.125,False,18,-28,8,62,2
18.75,False,38,52,28,-22,0
17.0,False,38,-28,0,-2,44
19.1875,False,6,20,38,6,66
16.5625,False,24,-34,26,46,-20
21.5625,False,12,62,14,60,44
21.0625,False,66,-6,70,40,4
20.6875,False,2,80,34,42,18
18.8125,False,58,8,2,40,24
18.5625,False,8,46,32,30,14
15.5625,False,32,-40,10,12,6
22.4375,False,76,52,28,24,30
20.375,False,20,10,66,36,24
18.0,False,6,58,-10,62,-30
19.375,False,22,-6,-14,42,88
17.75,False,56,-46,-6,12,54
18.4375,False,10,72,14,28,2
18.0,False,-18,6,26,38,62
17.125,False,62,10,14,4,-26
18.5,False,78,36,-28,38,-36
16.75,False,-6,6,50,8,-6
7.0,True,18,24,6,22,124
12.9375,False,10,-28,-30,0,-28
18.0,False,34,14,18,4,4
18.3125,False,38,24,-6,8,12
18.9375,False,60,16,42,4,4
15.6875,False,0,48,0,16,-48
18.6875,False,68,-6,4,34,6
15.9375,False,42,-6,50,-50,-24
11.625,False,-12,-6,-56,-38,6
14.25,False,-46,34,-44,-8,34
13.6875,False,26,14,-36,-12,14
14.6875,False,6,-32,14,-26,10
14.9375,False,-56,6,12,0,58
16.5,False,22,-2,16,22,-32
17.0,False,94,-32,6,0,8
13.3125,False,28,-80,-10,20,-18
16.0,False,46,56,-28,-20,-4
14.25,False,-40,68,-54,42,-24
17.625,False,44,46,-36,42,24
19.125,False,22,76,16,0,-4
15.1875,False,36,16,-68,8,2
17.1875,False,46,12,30,-30,6
14.9375,False,12,44,-46,-38,16
7.6875,True,-15,-7,33,27,123
15.75,False,20,48,-34,-58,28
17.5625,False,12,16,78,56,-80
16.4375,False,4,6,2,-18,34
15.6875,False,4,-22,20,0,-6
15.5625,False,8,2,6,12,-34
18.0625,False,-12,56,44,62,-42
12.125,False,-84,54,-2,-16,-24
19.0625,False,26,-16,-14,54,62
15.5,False,-52,24,28,16,18
1.4375,True,0,4,4,4,104
17.0625,False,30,78,-50,-32,20
16.5,False,2,58,50,-82,30
8.875,True,45,-31,105,21,-11
12.6875,False,-18,-14,-2,-4,-8
18.125,False,18,12,-20,52,36
15.75,False,-24,8,16,-18,16
17.875,False,34,60,36,-34,-14
17.875,False,-32,46,42,18,-4
17.625,False,-32,-14,30,72,14
13.6875,False,-18,-18,2,4,-40
14.5,False,62,-62,-22,6,4
12.3125,False,-16,2,-14,14,-38
14.6875,False,-8,-4,-4,-8,10
14.3125,False,-8,-4,30,-18,-30
16.8125,False,40,-6,20,10,10
14.625,False,20,-24,8,14,-30
19.1875,False,46,82,-16,62,-64
19.5,False,14,-8,2,84,24
14.125,False,8,-70,-12,12,42
15.4375,False,-54,18,12,26,-16
17.1875,False,22,-32,-36,38,56
11.6875,False,26,-56,-44,-90,32
12.5625,False,34,2,-78,-82,32
16.75,False,58,-28,44,-4,-22
15.4375,False,22,16,-66,-10,30
17.1875,False,-14,58,-2,32,28
13.75,False,-12,40,-6,-54,-6
14.75,False,2,-10,24,-36,24
14.5,False,24,-54,0,32,-46
14.125,False,-6,-10,-4,-20,-18
