coverage,found,agent_0,agent_1,agent_2,agent_3,agent_4
16.25,False,18,-4,10,10,-18
12.6875,False,6,-32,-6,-34,-2
14.8125,False,-4,20,2,-34,-12
15.3125,False,38,-12,-10,-2,-14
14.25,False,16,-26,22,-44,-14
15.5,False,2,-16,12,4,-6
4.3125,True,8,6,10,108,-4
13.9375,False,-14,-14,2,-24,16
15.25,False,-2,10,14,-16,0
14.5625,False,-8,20,-28,-30,4
16.3125,False,18,30,16,-4,-8
14.0,False,-10,-20,-18,2,0
17.25,False,32,30,8,12,-30
14.9375,False,-16,30,-28,22,-22
16.375,False,38,34,-24,-2,-4
16.8125,False,-20,30,24,4,4
15.9375,False,-48,2,30,20,6
15.875,False,-24,16,12,-30,42
3.1875,True,103,9,9,9,7
15.8125,False,6,26,32,-38,-2
15.0,False,8,10,24,-14,-16
17.9375,False,30,22,12,-16,32
17.875,False,16,16,32,-8,18
11.875,True,33,121,33,17,21
19.0625,False,46,10,24,22,26
15.375,False,-2,-10,40,-6,-8
12.0625,True,9,-7,15,11,119
16.6875,False,14,2,30,20,-4
15.25,False,-18,38,6,-38,22
16.8125,False,36,16,-8,-6,10
19.0,False,34,48,-20,32,8
15.8125,False,-36,14,34,6,-10
19.8125,False,0,36,36,22,42
18.1875,False,18,22,28,-32,44
5.5625,True,2,-2,-2,-2,122
17.875,False,52,18,-6,56,-40
18.875,False,10,62,34,26,6
12.3125,False,-16,-54,-30,2,16
17.6875,False,48,14,18,-32,12
19.75,False,8,46,20,20,52
20.3125,False,30,12,28,38,42
20.3125,False,64,50,-2,48,-2
18.0625,False,30,0,-14,52,26
19.875,False,4,62,24,54,28
18.875,False,6,64,32,22,-12
20.1875,False,48,48,38,32,6
19.875,False,-20,44,52,4,48
18.75,False,10,34,22,36,42
16.4375,False,46,22,-48,22,2
21.5,False,72,0,36,28,56
16.9375,False,4,8,-18,56,24
22.0625,False,54,36,52,32,28
18.625,False,20,36,68,2,-14
17.5625,False,-20,52,76,22,-28
20.5625,False,26,4,52,28,54
18.9375,False,30,38,36,8,4
16.6875,True,25,43,9,145,37
23.8125,False,70,72,42,58,16
18.4375,False,42,14,22,-14,42
19.1875,False,56,-36,-4,56,42
17.4375,False,-8,26,26,6,40
18.0625,False,-10,18,30,-2,58
14.1875,False,20,2,-4,-18,-18
20.1875,False,-12,24,44,36,52
15.5,True,-1,53,-11,-5,143
19.6875,False,10,38,0,42,42
1.5625,True,4,104,4,4,4
19.9375,False,0,58,20,54,22
22.625,False,72,28,44,56,26
18.5625,False,48,24,36,4,4
21.875,False,38,16,58,54,54
19.125,False,30,42,14,-18,36
23.6875,False,62,36,50,62,54
16.4375,True,23,-21,49,143,21
3.3125,True,-8,12,112,12,8
20.9375,False,60,36,4,28,36
19.25,False,-28,22,34,62,20
19.5625,False,50,-6,32,22,44
0.625,True,1,101,1,1,1
15.9375,False,-10,-48,36,6,30
7.9375,True,101,17,11,25,15
21.3125,False,64,22,18,32,40
17.75,False,60,16,-24,28,-4
20.9375,False,72,10,26,30,42
21.375,False,76,28,42,12,60
16.8125,False,-8,10,64,-8,8
