coverage,found,agent_0,agent_1,agent_2,agent_3,agent_4
15.75,False,-6,-6,-6,-6,-6
17.3125,False,54,54,54,54,54
15.0,False,16,16,16,16,16
16.8125,False,32,32,32,32,32
17.5,False,52,52,52,52,52
15.5,False,12,12,12,12,12
10.5,False,-164,-164,-164,-164,-164
10.75,False,-128,-128,-128,-128,-128
16.625,False,32,32,32,32,32
15.9375,False,4,4,4,4,4
12.9375,False,-84,-84,-84,-84,-84
5.375,True,113,113,113,113,113
13.5,False,-50,-50,-50,-50,-50
15.5625,False,40,40,40,40,40
11.4375,False,-144,-144,-144,-144,-144
14.3125,False,-40,-40,-40,-40,-40
16.5625,False,36,36,36,36,36
17.0,False,40,40,40,40,40
15.25,False,-14,-14,-14,-14,-14
14.1875,False,-52,-52,-52,-52,-52
9.9375,False,-168,-168,-168,-168,-168
