coverage,found,agent_0,agent_1,agent_2,agent_3,agent_4
12.4375,False,-40,-40,-40,-40,-40
14.9375,False,-74,-74,-74,-74,-74
12.625,False,-74,-74,-74,-74,-74
13.0625,False,-98,-98,-98,-98,-98
13.375,False,-98,-98,-98,-98,-98
13.0,False,-112,-112,-112,-112,-112
14.125,False,-112,-112,-112,-112,-112
13.0625,False,-92,-92,-92,-92,-92
13.4375,False,-92,-92,-92,-92,-92
13.875,False,-86,-86,-86,-86,-86
12.6875,False,-86,-86,-86,-86,-86
14.0625,False,-66,-66,-66,-66,-66
12.1875,False,-66,-66,-66,-66,-66
13.0,False,-136,-136,-136,-136,-136
13.5,False,-136,-136,-136,-136,-136
13.3125,False,-74,-74,-74,-74,-74
13.375,False,-74,-74,-74,-74,-74
12.8125,False,-44,-44,-44,-44,-44
5.1875,False,-44,-44,-44,-44,-44
14.3125,False,-38,-38,-38,-38,-38
13.375,False,-38,-38,-38,-38,-38
0.625,False,-96,-96,-96,-96,-96
14.25,False,-96,-96,-96,-96,-96
13.5,False,-8,-8,-8,-8,-8
13.9375,False,-8,-8,-8,-8,-8
12.5,False,121,121,121,121,121
11.3125,False,121,121,121,121,121
13.8125,False,-88,-88,-88,-88,-88
18.1875,False,-88,-88,-88,-88,-88
15.25,False,-130,-130,-130,-130,-130
14.875,False,-130,-130,-130,-130,-130
16.4375,False,-46,-46,-46,-46,-46
14.6875,False,-46,-46,-46,-46,-46
13.375,False,-50,-50,-50,-50,-50
12.375,False,-50,-50,-50,-50,-50
13.0625,False,-100,-100,-100,-100,-100
13.375,False,-100,-100,-100,-100,-100
14.9375,False,-34,-34,-34,-34,-34
11.5,False,-34,-34,-34,-34,-34
11.375,False,-36,-36,-36,-36,-36
14.5,False,-36,-36,-36,-36,-36
10.3125,False,-28,-28,-28,-28,-28
13.9375,False,-28,-28,-28,-28,-28
2.25,False,-96,-96,-96,-96,-96
14.9375,False,-96,-96,-96,-96,-96
14.375,False,-28,-28,-28,-28,-28
11.9375,False,-28,-28,-28,-28,-28
14.0,False,-18,-18,-18,-18,-18
12.8125,False,-18,-18,-18,-18,-18
13.8125,False,-86,-86,-86,-86,-86
15.25,False,-86,-86,-86,-86,-86
10.0,False,-80,-80,-80,-80,-80
8.9375,False,-80,-80,-80,-80,-80
15.8125,False,-66,-66,-66,-66,-66
13.625,False,-66,-66,-66,-66,-66
5.625,False,-82,-82,-82,-82,-82
13.75,False,-82,-82,-82,-82,-82
12.5625,False,-48,-48,-48,-48,-48
12.25,False,-48,-48,-48,-48,-48
14.5,False,117,117,117,117,117
9.125,False,117,117,117,117,117
14.125,False,-72,-72,-72,-72,-72
15.125,False,-72,-72,-72,-72,-72
14.0,False,-26,-26,-26,-26,-26
14.6875,False,-26,-26,-26,-26,-26
12.6875,False,-22,-22,-22,-22,-22
14.125,False,-22,-22,-22,-22,-22
14.9375,False,14,14,14,14,14
4.1875,False,14,14,14,14,14
12.875,False,-78,-78,-78,-78,-78
11.625,False,-78,-78,-78,-78,-78
6.9375,False,-80,-80,-80,-80,-80
15.25,False,-80,-80,-80,-80,-80
12.125,False,-88,-88,-88,-88,-88
14.8125,False,-88,-88,-88,-88,-88
14.5,False,-22,-22,-22,-22,-22
13.4375,False,-22,-22,-22,-22,-22
14.375,False,43,43,43,43,43
11.0625,False,43,43,43,43,43
16.75,False,-110,-110,-110,-110,-110
15.1875,False,-110,-110,-110,-110,-110
16.4375,False,77,77,77,77,77
11.5625,False,77,77,77,77,77
14.5,False,-14,-14,-14,-14,-14
13.5,False,-14,-14,-14,-14,-14
12.9375,False,-108,-108,-108,-108,-108
15.0625,False,-108,-108,-108,-108,-108
12.625,False,-60,-60,-60,-60,-60
