coverage,found,agent_0,agent_1,agent_2,agent_3,agent_4
5.8125,False,-90,-94,-6,-58,-76
9.875,False,-90,-94,-6,-58,-76
4.5625,False,-48,-52,-42,-14,-32
6.875,False,-48,-52,-42,-14,-32
10.3125,False,-98,-40,-68,-80,-78
6.8125,False,-98,-40,-68,-80,-78
13.3125,False,-70,-80,-48,-46,-30
7.8125,False,-70,-80,-48,-46,-30
7.75,False,-32,0,18,-60,-58
5.25,False,-32,0,18,-60,-58
5.8125,False,-80,-68,-38,-58,-48
8.8125,False,-80,-68,-38,-58,-48
8.1875,False,6,-44,2,10,-56
6.625,False,6,-44,2,10,-56
10.5625,False,-64,-64,-16,-54,-60
5.25,False,-64,-64,-16,-54,-60
7.25,False,-70,-28,-2,-58,-86
9.25,False,-70,-28,-2,-58,-86
4.8125,False,-76,-98,-48,-58,-62
5.0,False,-76,-98,-48,-58,-62
9.3125,False,-90,-70,-72,-70,-2
7.0,False,-90,-70,-72,-70,-2
9.8125,False,-88,-44,-10,-28,-38
4.4375,False,-88,-44,-10,-28,-38
5.25,False,-98,-6,16,-100,-36
7.5,False,-98,-6,16,-100,-36
8.875,False,-64,-70,-74,-36,-42
5.5625,True,-64,-70,-74,-36,-42
4.1875,False,0,-64,-24,-68,8
8.0,False,0,-64,-24,-68,8
8.5,False,-98,-96,-24,-78,-46
8.125,False,-98,-96,-24,-78,-46
4.4375,True,-36,-78,-88,-64,-12
8.125,False,-36,-78,-88,-64,-12
8.0625,False,-90,-28,2,-4,-36
7.4375,False,-90,-28,2,-4,-36
4.3125,False,-82,-42,-46,-70,-90
5.375,True,-82,-42,-46,-70,-90
4.125,False,-82,-56,-34,-88,-90
6.1875,False,-82,-56,-34,-88,-90
