coverage,found,agent_0,agent_1,agent_2,agent_3,agent_4
13.25,False,0,0,0,0,0
15.0,False,0,0,0,0,0
12.6875,False,0,0,0,0,0
3.1875,True,1,1,1,1,1
14.5,False,0,0,0,0,0
13.875,False,0,0,0,0,0
1.4375,True,1,1,1,1,1
15.75,False,0,0,0,0,0
12.9375,False,0,0,0,0,0
14.5,False,0,0,0,0,0
14.0,False,0,0,0,0,0
15.0625,False,0,0,0,0,0
16.6875,False,0,0,0,0,0
16.25,False,0,0,0,0,0
3.875,True,1,1,1,1,1
15.5,False,0,0,0,0,0
13.9375,False,0,0,0,0,0
17.875,False,0,0,0,0,0
13.9375,False,0,0,0,0,0
14.75,False,0,0,0,0,0
12.9375,False,0,0,0,0,0
17.4375,False,0,0,0,0,0
14.0625,False,0,0,0,0,0
17.375,False,0,0,0,0,0
16.125,False,0,0,0,0,0
15.8125,False,0,0,0,0,0
6.9375,True,1,1,1,1,1
13.25,True,1,1,1,1,1
15.875,False,0,0,0,0,0
2.75,True,1,1,1,1,1
17.5625,False,0,0,0,0,0
12.625,False,0,0,0,0,0
15.0625,False,0,0,0,0,0
14.0625,True,1,1,1,1,1
17.3125,False,0,0,0,0,0
13.6875,False,0,0,0,0,0
17.1875,False,0,0,0,0,0
1.75,True,1,1,1,1,1
15.75,False,0,0,0,0,0
14.0625,False,0,0,0,0,0
15.25,False,0,0,0,0,0
15.5,False,0,0,0,0,0
13.25,False,0,0,0,0,0
13.8125,False,0,0,0,0,0
16.875,False,0,0,0,0,0
15.125,False,0,0,0,0,0
13.8125,False,0,0,0,0,0
14.125,False,0,0,0,0,0
15.875,False,0,0,0,0,0
14.9375,False,0,0,0,0,0
15.1875,False,0,0,0,0,0
14.6875,False,0,0,0,0,0
15.8125,False,0,0,0,0,0
13.9375,False,0,0,0,0,0
12.75,False,0,0,0,0,0
9.5625,False,0,0,0,0,0
14.4375,False,0,0,0,0,0
14.375,False,0,0,0,0,0
12.5,False,0,0,0,0,0
11.5,False,0,0,0,0,0
13.1875,False,0,0,0,0,0
8.125,True,1,1,1,1,1
11.8125,False,0,0,0,0,0
14.5625,False,0,0,0,0,0
11.0625,False,0,0,0,0,0
13.625,False,0,0,0,0,0
11.5,False,0,0,0,0,0
13.625,False,0,0,0,0,0
10.6875,False,0,0,0,0,0
11.1875,False,0,0,0,0,0
12.1875,False,0,0,0,0,0
10.3125,False,0,0,0,0,0
9.625,False,0,0,0,0,0
11.0625,False,0,0,0,0,0
14.0625,False,0,0,0,0,0
11.25,False,0,0,0,0,0
11.1875,False,0,0,0,0,0
10.625,False,0,0,0,0,0
10.5,False,0,0,0,0,0
8.8125,False,0,0,0,0,0
8.5,False,0,0,0,0,0
10.125,False,0,0,0,0,0
8.8125,False,0,0,0,0,0
10.25,False,0,0,0,0,0
11.6875,False,0,0,0,0,0
8.9375,False,0,0,0,0,0
11.5625,False,0,0,0,0,0
13.0625,False,0,0,0,0,0
10.6875,False,0,0,0,0,0
15.125,False,0,0,0,0,0
6.9375,True,1,1,1,1,1
14.9375,False,0,0,0,0,0
11.6875,False,0,0,0,0,0
0.625,True,1,1,1,1,1
9.5625,True,1,1,1,1,1
11.625,False,0,0,0,0,0
12.8125,False,0,0,0,0,0
13.5,False,0,0,0,0,0
11.5625,False,0,0,0,0,0
13.4375,False,0,0,0,0,0
10.9375,False,0,0,0,0,0
9.25,False,0,0,0,0,0
12.0625,False,0,0,0,0,0
9.875,False,0,0,0,0,0
12.0,False,0,0,0,0,0
9.8125,False,0,0,0,0,0
12.9375,False,0,0,0,0,0
12.375,False,0,0,0,0,0
13.3125,False,0,0,0,0,0
13.1875,False,0,0,0,0,0
9.8125,False,0,0,0,0,0
10.4375,False,0,0,0,0,0
12.625,False,0,0,0,0,0
10.4375,False,0,0,0,0,0
8.4375,False,0,0,0,0,0
13.1875,False,0,0,0,0,0
14.9375,False,0,0,0,0,0
11.5625,False,0,0,0,0,0
10.8125,False,0,0,0,0,0
7.75,False,0,0,0,0,0
10.3125,False,0,0,0,0,0
13.5625,False,0,0,0,0,0
12.0,False,0,0,0,0,0
12.1875,False,0,0,0,0,0
5.9375,True,1,1,1,1,1
14.75,False,0,0,0,0,0
13.8125,False,0,0,0,0,0
9.9375,False,0,0,0,0,0
8.0,False,0,0,0,0,0
9.125,False,0,0,0,0,0
8.6875,False,0,0,0,0,0
13.5,False,0,0,0,0,0
9.25,False,0,0,0,0,0
1.5625,True,1,1,1,1,1
8.0625,True,1,1,1,1,1
2.375,True,1,1,1,1,1
13.25,False,0,0,0,0,0
0.625,True,1,1,1,1,1
4.4375,True,1,1,1,1,1
15.875,False,0,0,0,0,0
14.3125,False,0,0,0,0,0
14.75,False,0,0,0,0,0
16.1875,False,0,0,0,0,0
9.875,False,0,0,0,0,0
13.625,False,0,0,0,0,0
10.5625,False,0,0,0,0,0
10.125,False,0,0,0,0,0
11.6875,False,0,0,0,0,0
9.9375,True,1,1,1,1,1
12.9375,False,0,0,0,0,0
16.0,False,0,0,0,0,0
14.0,False,0,0,0,0,0
11.5,False,0,0,0,0,0
12.4375,False,0,0,0,0,0
12.6875,True,1,1,1,1,1
11.9375,False,0,0,0,0,0
11.875,False,0,0,0,0,0
12.0,False,0,0,0,0,0
13.5,False,0,0,0,0,0
13.6875,False,0,0,0,0,0
11.875,False,0,0,0,0,0
8.0625,True,1,1,1,1,1
12.8125,False,0,0,0,0,0
12.4375,False,0,0,0,0,0
14.625,False,0,0,0,0,0
11.625,False,0,0,0,0,0
13.375,False,0,0,0,0,0
10.5625,False,0,0,0,0,0
13.9375,False,0,0,0,0,0
14.9375,False,0,0,0,0,0
11.75,False,0,0,0,0,0
13.375,False,0,0,0,0,0
13.875,False,0,0,0,0,0
13.3125,False,0,0,0,0,0
13.75,False,0,0,0,0,0
7.6875,True,1,1,1,1,1
13.875,False,0,0,0,0,0
9.9375,False,0,0,0,0,0
12.625,False,0,0,0,0,0
12.375,False,0,0,0,0,0
10.5,False,0,0,0,0,0
10.9375,False,0,0,0,0,0
12.6875,False,0,0,0,0,0
11.125,False,0,0,0,0,0
11.5625,False,0,0,0,0,0
11.9375,False,0,0,0,0,0
13.0,False,0,0,0,0,0
9.875,False,0,0,0,0,0
10.75,False,0,0,0,0,0
15.625,False,0,0,0,0,0
11.625,False,0,0,0,0,0
13.1875,False,0,0,0,0,0
12.8125,False,0,0,0,0,0
9.125,False,0,0,0,0,0
12.875,False,0,0,0,0,0
15.125,False,0,0,0,0,0
4.875,True,1,1,1,1,1
15.875,False,0,0,0,0,0
14.125,False,0,0,0,0,0
13.8125,False,0,0,0,0,0
